title,company,location,remote_status,salary,currency,salary_period,description,experience,role_label,source,is_demo
Junior Data Analyst,Demo Company 01,"Austin, TX",hybrid,,USD,annual,"<p>Build reports, validate metrics, and explain business trends.</p> Skills: SQL, Tableau. Work with team 1.",entry,Data Analyst,Fictional demo generated with seed 42,true
Senior Data Analyst,Demo Company 02,"Chicago, IL",remote,$60k - $85k,USD,annual,"<p>Build reports, validate metrics, and explain business trends.</p> Skills: Python, Power BI. Work with team 2.",mid,Data Analyst,Fictional demo generated with seed 42,true
Data Analyst,Demo Company 03,,,$85k - $110k,USD,annual,"<p>Build reports, validate metrics, and explain business trends.</p> Skills: Python, SQL, Tableau. Work with team 3.",mid,Data Analyst,Fictional demo generated with seed 42,true
Data Analyst,Demo Company 04,"New York, NY",hybrid,$105k - $130k,USD,annual,"<p>Build reports, validate metrics, and explain business trends.</p> Skills: Python, Tableau, SQL, Power BI, Excel. Work with team 4.",mid,Data Analyst,Fictional demo generated with seed 42,true
Junior Data Analyst,Demo Company 05,"New York, NY",on-site,$110k - $135k,USD,annual,"<p>Build reports, validate metrics, and explain business trends.</p> Skills: SQL, Python, Excel, Power BI. Work with team 5.",entry,Data Analyst,Fictional demo generated with seed 42,true
Senior Data Analyst,Demo Company 06,"New York, NY",hybrid,,USD,annual,"<p>Build reports, validate metrics, and explain business trends.</p> Skills: Python, SQL, Excel, Power BI, Tableau. Work with team 6.",entry,Data Analyst,Fictional demo generated with seed 42,true
Data Analyst,Demo Company 07,"Austin, TX",remote,$65k - $90k,USD,annual,"<p>Build reports, validate metrics, and explain business trends.</p> Skills: Excel, Tableau. Work with team 7.",,Data Analyst,Fictional demo generated with seed 42,true
Data Analyst,Demo Company 08,"Austin, TX",on-site,$110k - $135k,USD,annual,"<p>Build reports, validate metrics, and explain business trends.</p> Skills: Power BI, Tableau, SQL, Excel. Work with team 8.",entry,Data Analyst,Fictional demo generated with seed 42,true
Junior Data Analyst,Demo Company 09,"Seattle, WA",on-site,$125k - $150k,USD,annual,"<p>Build reports, validate metrics, and explain business trends.</p> Skills: Python, Excel, SQL. Work with team 9.",mid,Data Analyst,Fictional demo generated with seed 42,true
Senior Data Analyst,Demo Company 10,"New York, NY",remote,$115k - $140k,USD,annual,"<p>Build reports, validate metrics, and explain business trends.</p> Skills: SQL, Excel, Python, Power BI. Work with team 10.",mid,Data Analyst,Fictional demo generated with seed 42,true
Data Analyst,Demo Company 11,"New York, NY",hybrid,,USD,annual,"<p>Build reports, validate metrics, and explain business trends.</p> Skills: Excel, Power BI, Python, Tableau. Work with team 11.",mid,Data Analyst,Fictional demo generated with seed 42,true
Data Analyst,Demo Company 12,"Austin, TX",hybrid,$110k - $135k,USD,annual,"<p>Build reports, validate metrics, and explain business trends.</p> Skills: Python, Power BI, Tableau, Excel. Work with team 12.",,Data Analyst,Fictional demo generated with seed 42,true
Junior Data Analyst,Demo Company 13,"Austin, TX",,$75k - $100k,USD,annual,"<p>Build reports, validate metrics, and explain business trends.</p> Skills: SQL, Python. Work with team 13.",entry,Data Analyst,Fictional demo generated with seed 42,true
Senior Data Analyst,Demo Company 14,,on-site,$70k - $95k,USD,annual,"<p>Build reports, validate metrics, and explain business trends.</p> Skills: Power BI, Python, Tableau, Excel, SQL. Work with team 14.",senior,Data Analyst,Fictional demo generated with seed 42,true
Data Analyst,Demo Company 15,"Seattle, WA",remote,$80k - $105k,USD,annual,"<p>Build reports, validate metrics, and explain business trends.</p> Skills: Tableau, Power BI. Work with team 15.",senior,Data Analyst,Fictional demo generated with seed 42,true
Data Analyst,Demo Company 16,,hybrid,,USD,annual,"<p>Build reports, validate metrics, and explain business trends.</p> Skills: Python, SQL, Tableau. Work with team 16.",mid,Data Analyst,Fictional demo generated with seed 42,true
Junior Data Scientist,Demo Company 01,"Seattle, WA",remote,,USD,annual,"<p>Design experiments and evaluate statistical prediction models.</p> Skills: R, scikit-learn, Python, Pandas. Work with team 1.",entry,Data Scientist,Fictional demo generated with seed 42,true
Senior Data Scientist,Demo Company 02,"Chicago, IL",remote,$145k - $170k,USD,annual,"<p>Design experiments and evaluate statistical prediction models.</p> Skills: Pandas, R, Python, NumPy. Work with team 2.",,Data Scientist,Fictional demo generated with seed 42,true
Data Scientist,Demo Company 03,"Seattle, WA",hybrid,$75k - $100k,USD,annual,"<p>Design experiments and evaluate statistical prediction models.</p> Skills: scikit-learn, R. Work with team 3.",senior,Data Scientist,Fictional demo generated with seed 42,true
Data Scientist,Demo Company 04,"New York, NY",,$115k - $140k,USD,annual,"<p>Design experiments and evaluate statistical prediction models.</p> Skills: scikit-learn, NumPy, R, Pandas, Python, SQL. Work with team 4.",,Data Scientist,Fictional demo generated with seed 42,true
Junior Data Scientist,Demo Company 05,"New York, NY",remote,$65k - $90k,USD,annual,"<p>Design experiments and evaluate statistical prediction models.</p> Skills: R, SQL. Work with team 5.",mid,Data Scientist,Fictional demo generated with seed 42,true
Senior Data Scientist,Demo Company 06,"Chicago, IL",on-site,,USD,annual,"<p>Design experiments and evaluate statistical prediction models.</p> Skills: R, Python, scikit-learn, Pandas, NumPy, SQL. Work with team 6.",entry,Data Scientist,Fictional demo generated with seed 42,true
Data Scientist,Demo Company 07,"Seattle, WA",,$90k - $115k,USD,annual,"<p>Design experiments and evaluate statistical prediction models.</p> Skills: R, Pandas, NumPy, Python, scikit-learn, SQL. Work with team 7.",mid,Data Scientist,Fictional demo generated with seed 42,true
Data Scientist,Demo Company 08,"Seattle, WA",,$110k - $135k,USD,annual,"<p>Design experiments and evaluate statistical prediction models.</p> Skills: Python, NumPy. Work with team 8.",,Data Scientist,Fictional demo generated with seed 42,true
Junior Data Scientist,Demo Company 09,"Seattle, WA",on-site,$60k - $85k,USD,annual,"<p>Design experiments and evaluate statistical prediction models.</p> Skills: SQL, Python. Work with team 9.",entry,Data Scientist,Fictional demo generated with seed 42,true
Senior Data Scientist,Demo Company 10,"Seattle, WA",hybrid,$75k - $100k,USD,annual,"<p>Design experiments and evaluate statistical prediction models.</p> Skills: R, SQL, NumPy. Work with team 10.",senior,Data Scientist,Fictional demo generated with seed 42,true
Data Scientist,Demo Company 11,,remote,,USD,annual,"<p>Design experiments and evaluate statistical prediction models.</p> Skills: R, Python, NumPy, Pandas, scikit-learn. Work with team 11.",entry,Data Scientist,Fictional demo generated with seed 42,true
Data Scientist,Demo Company 12,"Austin, TX",,$130k - $155k,USD,annual,"<p>Design experiments and evaluate statistical prediction models.</p> Skills: R, NumPy, scikit-learn. Work with team 12.",entry,Data Scientist,Fictional demo generated with seed 42,true
Junior Data Scientist,Demo Company 13,"Seattle, WA",on-site,$95k - $120k,USD,annual,"<p>Design experiments and evaluate statistical prediction models.</p> Skills: NumPy, Python, SQL. Work with team 13.",,Data Scientist,Fictional demo generated with seed 42,true
Senior Data Scientist,Demo Company 14,,remote,$60k - $85k,USD,annual,"<p>Design experiments and evaluate statistical prediction models.</p> Skills: SQL, NumPy, R, Python, scikit-learn, Pandas. Work with team 14.",senior,Data Scientist,Fictional demo generated with seed 42,true
Data Scientist,Demo Company 15,,hybrid,$130k - $155k,USD,annual,"<p>Design experiments and evaluate statistical prediction models.</p> Skills: Python, scikit-learn. Work with team 15.",entry,Data Scientist,Fictional demo generated with seed 42,true
Data Scientist,Demo Company 16,"Chicago, IL",hybrid,,USD,annual,"<p>Design experiments and evaluate statistical prediction models.</p> Skills: Python, R, SQL, Pandas, NumPy, scikit-learn. Work with team 16.",entry,Data Scientist,Fictional demo generated with seed 42,true
Junior Data Engineer,Demo Company 01,"Austin, TX",on-site,,USD,annual,"<p>Build reliable data pipelines and maintain warehouse tables.</p> Skills: SQL, Airflow, dbt, Spark, Python, Databricks. Work with team 1.",,Data Engineer,Fictional demo generated with seed 42,true
Senior Data Engineer,Demo Company 02,"New York, NY",remote,$125k - $150k,USD,annual,"<p>Build reliable data pipelines and maintain warehouse tables.</p> Skills: Snowflake, Databricks, Spark. Work with team 2.",entry,Data Engineer,Fictional demo generated with seed 42,true
Data Engineer,Demo Company 03,,on-site,$85k - $110k,USD,annual,"<p>Build reliable data pipelines and maintain warehouse tables.</p> Skills: dbt, Databricks, SQL, Snowflake, Spark. Work with team 3.",mid,Data Engineer,Fictional demo generated with seed 42,true
